ID,back_translated_DATA,LABEL,back_translated_DATA_tamil
TAM_HUAI_TR_001,The smell of this soap is very refreshing.,AI,ഈ സോപ്പിന്റെ മണം വളരെ ഉന്മേഷദായകമാണ്.
TAM_HUAI_TR_002,It is very special to clean the skin well.,AI,ചർമ്മത്തെ നന്നായി വൃത്തിയാക്കുന്നത് വളരെ സവിശേഷമാണ്.
TAM_HUAI_TR_003,"After using this, the skin is very soft.",AI,"ഇത് ഉപയോഗിച്ചതിന് ശേഷം, ചർമ്മം വളരെ മൃദുവാണ്."
TAM_HUAI_TR_004,Natural raw materials are used in this soap.,AI,പ്രകൃതി അസംസ്കൃത വസ്തുക്കൾ ഈ സോപ്പിൽ ഉപയോഗിക്കുന്നു.
TAM_HUAI_TR_005,"A little soap is enough, more foam is formed.",AI,"ഒരു ചെറിയ സോപ്പ് മതി, കൂടുതൽ നുരയെ രൂപപ്പെട്ടു."
TAM_HUAI_TR_006,It helps maintain the skin and makes the skin steady.,AI,ഇത് ചർമ്മത്തെ പരിപാലിക്കാൻ സഹായിക്കുകയും ചർമ്മത്തെ സ്ഥിരമാക്കുകയും ചെയ്യുന്നു.
TAM_HUAI_TR_007,The design and color of this soap is very beautiful.,AI,ഈ സോപ്പിന്റെ രൂപകൽപ്പനയും നിറവും വളരെ മനോഹരമാണ്.
TAM_HUAI_TR_008,Its toxic raw materials protect the allergy.,AI,അതിന്റെ വിഷ അസംസ്കൃത വസ്തുക്കൾ അലർജി സംരക്ഷിക്കുന്നു.
TAM_HUAI_TR_009,This soap will be used for a long time.,AI,ഈ സോപ്പ് വളരെക്കാലം ഉപയോഗിക്കും.
TAM_HUAI_TR_010,"After using it, the skin is very steady.",AI,"ഇത് ഉപയോഗിച്ചതിന് ശേഷം, ചർമ്മം വളരെ സ്ഥിരമാണ്."
TAM_HUAI_TR_011,"Because the smell of this soap is very strong, it sometimes causes headaches.",AI,"കാരണം ഈ സോപ്പിന്റെ ഗന്ധം വളരെ ശക്തമാണ്, ചിലപ്പോൾ തലവേദന ഉണ്ടാക്കുന്നു."
TAM_HUAI_TR_012,"After using it, the skin is more dry.",AI,"ഇത് ഉപയോഗിച്ചതിന് ശേഷം, ചർമ്മം കൂടുതൽ വരണ്ടതാണ്."
TAM_HUAI_TR_013,"Sometimes, allergies in the skin occurs when this soap is used.",AI,"ചിലപ്പോൾ, ഈ സോപ്പ് ഉപയോഗിക്കുമ്പോൾ ചർമ്മത്തിലെ അലർജികൾ സംഭവിക്കുന്നു."
TAM_HUAI_TR_014,The soap is completely broken into small pieces.,AI,സോപ്പ് പൂർണ്ണമായും ചെറിയ കഷണങ്ങളായി തകർക്കുന്നു.
