ID,back_translated_DATA,LABEL,back_translated_DATA_tamil
MAL_HUAI_TR_001,I am a good proport that I defects Facebook Wash for some time.,HUMAN,കുറച്ച് സമയത്തേക്ക് ഞാൻ ഫേസ്ബുക്ക് വാങ് കുടിക്കുന്നതായി ഞാൻ ഒരു നല്ല പ്രോത്സാഹിപ്പിക്കുന്നു.
MAL_HUAI_TR_002,This Facebook wash can be used in the vetrack,HUMAN,ഈ ഫേസ്ബുക്ക് വാഷ് വെട്രക്കിൽ ഉപയോഗിക്കാം
MAL_HUAI_TR_003,Anna I helped me to start the 14-year-old honey to the skincare,HUMAN,14 വയസുള്ള തേൻ ആരംഭിക്കാൻ അന്ന ഞാൻ സ്കിൻകെറിലേക്ക് ആരംഭിക്കാൻ എന്നെ സഹായിച്ചു
MAL_HUAI_TR_004,Brobe Item Yuse will be added to another Facebook Wash,HUMAN,മറ്റൊരു ഫേസ്ബുക്ക് വാഷിലേക്ക് ബ്ര rown ൺ ഇനം യൂസ് ചേർക്കും
MAL_HUAI_TR_005,This is good for the Phase Wash Daily,HUMAN,ഫേസ് വാഷ് ദിവസവും ഇത് നല്ലതാണ്
MAL_HUAI_TR_006,"If you stop these, then the Chancind is to make the probl",HUMAN,"നിങ്ങൾ ഇവ നിർത്തിയാൽ, പ്രശ്നം ഉണ്ടാക്കുക എന്നതാണ് ചാാൻദ്"
MAL_HUAI_TR_007,Broh I don't have a mess for my face that I haven't followed this to this,HUMAN,ഇവയ്ക്ക് ഞാൻ ഇത് പിന്തുടരാതിരിക്കാൻ എനിക്ക് എന്റെ മുഖത്തിന് കുഴപ്പമില്ല
MAL_HUAI_TR_008,It is promotion that the Muchag then is the promotion of promotional promotion,HUMAN,പ്രമോഷണൽ പ്രമോഷന്റെ ഉന്നമനമാണ് മുട്ടിയകളാണ്
MAL_HUAI_TR_009,This is declining the price of paise to buy the propractive,HUMAN,ഇത് പൈസയുടെ വില കുറയുന്നു പ്രോപ്പം വാങ്ങുന്നതിന്
MAL_HUAI_TR_010,This Churidar is now and has a nice beauty,HUMAN,ഈ ചുരിദാർ ഇപ്പോൾ ഒരു നല്ല സൗന്ദര്യമുണ്ട്
MAL_HUAI_TR_011,This makeup brush should be cleaned when each single ege is able to,HUMAN,ഓരോ സിംഗിൾ എറിയുമ്പോൾ ഈ മേക്കപ്പ് ബ്രഷ് വൃത്തിയാക്കണം
MAL_HUAI_TR_012,This Product is good for CajelWhoor,HUMAN,ഈ ഉൽപ്പന്നം cajelwhoor ന് നല്ലതാണ്
MAL_HUAI_TR_013,Wishkare I didn't work.Are you?,HUMAN,ഞാൻ ജോലി ചെയ്തില്ലെന്ന് വിഷ്കാരെ പ്രവർത്തിച്ചില്ലേ?
MAL_HUAI_TR_014,This pencil can make the yoos to draw well to Chechi Ibro,HUMAN,ഈ പെൻസിൽ ചെച്ചി ഇബ്രോയിലേക്ക് നന്നായി വരയ്ക്കാൻ കഴിയും
MAL_HUAI_TR_015,Is there any way to avoid sweat?This cream does not have a car.Will go to sweat,HUMAN,വിയർപ്പ് ഒഴിവാക്കാൻ എന്തെങ്കിലും മാർഗമുണ്ടോ? ഈ ക്രീമിന് ഒരു കാർ ഇല്ലെങ്കിൽ വിയർപ്പ്
MAL_HUAI_TR_016,Wishcare Hairgrowth Serum will make prepechver graying,HUMAN,അഭയ മുടിയുടെ വളർച്ച സെറം പ്രീപെക്വർ ഗ്രേജിംഗ് ഉണ്ടാക്കും
MAL_HUAI_TR_017,You should stop the retinol to use the rest of the other Alelem Euse,HUMAN,മറ്റ് അലിലെം യൂസസ് ഉപയോഗിക്കുന്നതിന് നിങ്ങൾ റെറ്റിനോൾ നിർത്തണം
MAL_HUAI_TR_018,Is my pigmented lips.Tinted Lipbam will be served and will be a pigmented.Colorless yoos seemed good,HUMAN,"എന്റെ പിഗ്മെന്റ് ലിപ്സ്.റ്റിന്റ് ചെയ്ത ലിപ് ബാം വിളമ്പും, പിഗ്മെന്റ് ആയിരിക്കും. കോളല്ലാതെ നിങ്ങൾ നല്ലതായി തോന്നി"
MAL_HUAI_TR_019,Wishkare is 100% working I was Heavy hair fall and I have a lot of hauyer falls as good as good,HUMAN,ഞാൻ കനത്ത മുടിയുടെ വീഴ്ചയായിരുന്ന 100% ജോലിക്കാരനാണ് വിഷ്കാരെ
MAL_HUAI_TR_020,Supestick to see the first-trio lipstick with the Setor.,HUMAN,സെറ്ററുമായി ഫസ്റ്റ് ട്രിയോ ലിപ്സ്റ്റിക്ക് കാണാനുള്ള സുമസ്റ്റിക്ക്.
MAL_HUAI_TR_021,The goods we need is cool,HUMAN,ഞങ്ങൾക്ക് ആവശ്യമുള്ള സാധനങ്ങൾ തണുപ്പാണ്
MAL_HUAI_TR_022,All rights reserved in the kitchen in the kitchen,HUMAN,അടുക്കളയിലെ അടുക്കളയിൽ റിസർവ് ചെയ്ത എല്ലാ അവകാശങ്ങളും
MAL_HUAI_TR_023,More goods in the low price,HUMAN,കുറഞ്ഞ വിലയിൽ കൂടുതൽ സാധനങ്ങൾ
MAL_HUAI_TR_024,Good product is all very useful products,HUMAN,നല്ല ഉൽപ്പന്നം വളരെ ഉപയോഗപ്രദമായ എല്ലാ ഉൽപ്പന്നങ്ങളാണ്
MAL_HUAI_TR_025,"Knife is a good beauty, no product and Super",HUMAN,"കത്തി ഒരു നല്ല സൗന്ദര്യമാണ്, ഉൽപ്പന്നവും സൂപ്പർ"
MAL_HUAI_TR_026,Atatus Killed from Meso,HUMAN,Atatus മെസോയിൽ നിന്ന് കൊല്ലപ്പെട്ടു
MAL_HUAI_TR_027,"Even if you are buying from Meso, the origin is a good way to send",HUMAN,"നിങ്ങൾ മെസോയിൽ നിന്ന് വാങ്ങുകയാണെങ്കിൽപ്പോലും, ഉത്ഭവം അയയ്ക്കാനുള്ള ഒരു നല്ല മാർഗമാണ്"
MAL_HUAI_TR_028,"It is not a simple amount of time.If 100 oh 200, it would have been put to go.No quality will be able to have any benefit with the Paisa of Customers !!!",HUMAN,"ഇത് ലളിതമായ സമയമല്ല. 100 ഓ 200, ഇത് Gov ചെയ്യാൻ കഴിയുമായിരുന്നു. ഉപഭോക്താക്കളുടെ പൈസയിൽ ഗുണനിലവാരത്തിന് കഴിയും !!!"
MAL_HUAI_TR_029,Well is buying from the shop,HUMAN,കടയിൽ നിന്ന് വാങ്ങുകയാണ്
MAL_HUAI_TR_030,"If this Wooden lid is uply up to Oil, Fanks will not be",HUMAN,"ഈ മരം ലിഡ് ഓയിൽ വരെ, തമാശകൾ ഉണ്ടാകില്ല"
MAL_HUAI_TR_031,Lava Indian Company.Buy all of them and succeed.Insert Indian companies grow.,HUMAN,ലാവ ഇന്ത്യൻ കമ്പനി. എല്ലാ അവരും വിജയിക്കുകയും വിജയിക്കുകയും ചെയ്യുന്നു. ഇന്ത്യൻ കമ്പനികളെ വളർത്തുന്നു.
MAL_HUAI_TR_032,"Since there is a screen in the BACH, Since the Celfied Camera Camera Hill, the Celfied Camera Camera Hill is the Chemmah Jill",HUMAN,"സെൽഫൈഡ് ക്യാമറ ക്യാമറ ഹിൽ മുതൽ സെൽഫിഡ് ക്യാമറ ക്യാമറ ഹിൽ ഉള്ളതിനാൽ, സെൽഫിഡ് ക്യാമറ ക്യാമറ ഹിൽ"
MAL_HUAI_TR_033,Condrol Button is a lot better than super iPhone,HUMAN,സൂപ്പർ ഐഫോണിനേക്കാൾ വളരെ മികച്ചതാണ് കോണ്ടറോൾഡ് ബട്ടൺ
MAL_HUAI_TR_034,This phone is not necessary and is a good way capture.Good despite the prinque.,HUMAN,"പ്രിൻക്യി ഉണ്ടായിരുന്നിട്ടും ഈ ഫോൺ ആവശ്യമില്ല, ഒപ്പം ഒരു നല്ല മാർഗമാണ്."
MAL_HUAI_TR_035,"However, it is not the Indian company, it is not",HUMAN,"എന്നിരുന്നാലും, ഇത് ഇന്ത്യൻ കമ്പനിയല്ല, അല്ല"
MAL_HUAI_TR_036,Lava is a good phone for those who don't like the camera,HUMAN,ക്യാമറ ഇഷ്ടപ്പെടാത്തവർക്ക് ലാവ ഒരു നല്ല ഫോണാണ്
MAL_HUAI_TR_037,The lava's phone should be copyed all the phone,HUMAN,ലാവയുടെ ഫോൺ എല്ലാ ഫോണും പകർത്തേണ്ടതുണ്ട്
MAL_HUAI_TR_038,Every purpose of telling that soft stomach knows everyone,HUMAN,മൃദുവായ വയറിന് എല്ലാവരേയും അറിയാമെന്നതിന്റെ എല്ലാ ഉദ്ദേശ്യങ്ങളും
MAL_HUAI_TR_039,Wow ... let's play with the tires of this phone and play with tires and play,HUMAN,കൊള്ളാം ... നമുക്ക് ഈ ഫോണിന്റെ ടയറുകളുമായി കളിച്ച് ടയറുകളും കളിയും ഉപയോഗിച്ച് കളിക്കാം
